Tipo de deporte;Deporte;Nombre de la institución o espacio;Calle;Número;Barrio de Pilar;Actividad / Deporte arancelado;Género;Edades / Categorías
Deportes de Conjunto;Voleibol;Club Atlético Peñarol Pilar;Hipólito Yrigoyen ;799;Pilar (cabecera);SI;FEMENINO;Todas las edades
Deportes de Conjunto;Voleibol;Club Atlético Peñarol Pilar;Hipólito Yrigoyen;799;Pilar (cabecera);SI;MASCULINO;Todas las edades
Deportes de Conjunto;Voleibol;Sinergia Voley Pilar; Acceso Norte, Ruta 25;;Pilar (cabecera);SI;MASCULINO;Todas las edades
Deportes de Conjunto;Voleibol;Club Sportivo Pilar;Tomás Márquez ;1125;Pilar (cabecera);SI;MASCULINO;Todas las edades
Deportes de Conjunto;Voleibol;Club Atlético Pilar;Ituizango ;759;Pilar (cabecera);SI;MASCULINO;Todas las edades
Deportes Individuales;Taekwondo;Club Municipal Luchetti;Pres. Juan Domingo Perón ;963;Villa Rosa;NO;MIXTO;Niños/as (hasta 12 años)
Deportes Individuales;Taekwondo;Club Municipal Del Viso;Cesar Lambroso;669;Del Viso;NO;MIXTO;Niños/as (hasta 12 años)
Deportes Individuales;Taekwondo;Club Lagomarsino;Brasil ;5020;Manuel Alberti;NO;MIXTO;Niños/as (hasta 12 años)
Deportes Individuales;Taekwondo;Club Derqui;Henry Martin y España;;Presidente Derqui;NO;MIXTO;Niños/as (hasta 12 años)
Deportes Individuales;Taekwondo;Club Peruzotti;Pedro de Mendoza ;1853;Pilar (cabecera);NO;MIXTO;Niños/as (hasta 12 años)
Deportes Individuales;Taekwondo;Club Astolfi;Av. Constitución ;3209;Manzone;NO;MIXTO;Todas las edades
Deportes Individuales;Taekwondo;Club Municipal Luchetti;Pres. Juan Domingo Perón ;963;Villa Rosa;NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes Individuales;Taekwondo;Club Municipal Del Viso;Cesar Lambroso;669;Del Viso;NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes Individuales;Taekwondo;Club Lagomarsino;Brasil ;5020;Manuel Alberti;NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes Individuales;Taekwondo;Club Derqui;Henry Martin y España;;Presidente Derqui;NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes Individuales;Taekwondo;Club Peruzotti;Pedro de Mendoza ;1853;Pilar (cabecera);NO;MIXTO;Adolescentes (de 12 a 18 años)
Deportes Individuales;Taekwondo;Club Argentinos de Del Viso ;Ituzaingó ;8601;Del Viso;SI;MIXTO;Todas las edades
Deportes Individuales;Taekwondo;Centro de Jubilados Y P;Chiclana ;7089;Del Viso;SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes Individuales;Taekwondo;Club Atlético Pilar;Ituzaingó ;759;Pilar (cabecera);SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes Individuales;Taekwondo;Indómito training ;Francisco Pizarro ;1244;Del Viso;SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Hockey;Club Champañat;R. Caamaño;1639;La Lonja;SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Hockey;Club Cerro Pilar;Las Truchas ;1220;Pilar (cabecera);SI;MIXTO;Adolescentes (de 12 a 18 años)
Deportes de Conjunto;Hockey;Club Atlético Pilar;Ruta 8, esq. Frondizi;km12;Pilar (cabecera);SI;MIXTO;Adolescentes (de 12 a 18 años)
